U36759_s_at,U58087_at,U57450_at,D85815_at,X04470_s_at,U12139_at,D29833_at,X54457_s_at,M58569_s_at,U15173_at,D49824_at,HG3437-HT3628_s_at,X78416_s_at,X64559_at,U45448_s_at,U07559_at,X62573_at,X54131_at,U06233_at,U81787_at,M96326_rna1_at,Y07565_s_at,U43279_at,Y11416_at,L13720_at,X66436_at,U02566_s_at,D87470_at,U38372_at,HG537-HT537_at,D87460_at,D38037_at,M55040_at,X74837_at,U68031_at,J02874_at,X59766_at,D87462_at,U52827_at,L10338_s_at,X07730_at,U00951_at,M36542_s_at,U29656_at,X57809_at,U23430_s_at,U00957_at,U18237_at,L22454_at,U82759_at,U57341_r_at,L22214_at,X74328_rna1_at,L06133_at,J05036_s_at,S61953_at,X92762_at,D55643_s_at,U49248_at,S78873_s_at,AB004884_at,M81181_s_at,HG4333-HT4603_at,X59244_f_at,L07807_s_at,X76498_at,S72043_rna1_at,X80026_at,Z34974_s_at,M11437_cds2_at,U25433_at,L34673_at,HG3897-HT4167_at,U58837_s_at,X63657_at,J04040_at,X05232_at,X97303_at,L35240_at,M35531_at,L11369_at,D50913_at,U50743_at,D87673_at,M30838_at,M16801_at,X70070_at,L42601_f_at,M95585_s_at,X78924_at,M34344_at,U62966_at,X17094_at,M63904_at,U10991_at,M62400_at,AF000545_at,D14822_at,U01877_at,AD000092_cds1_at,class
-0.1811,0.0555,-0.3595,-0.8702,-0.3869,-0.3016,-0.2817,0.4113,0.1314,-0.0936,0.4121,-0.2008,0.0932,0.6242,0.0135,0.3044,-0.537,-0.4614,-0.0151,-0.5669,-0.1513,-0.1071,-0.0855,-0.1868,0.0543,-0.7047,0.1278,-0.4325,-0.1093,-0.1041,-0.9788,-0.1555,0.0894,-0.3057,-0.1163,-0.1206,-0.226,-0.4088,0.3142,-0.8091,-0.7233,-0.4519,-0.7815,-0.145,-0.145,-0.7665,0.6325,-0.7665,-0.2841,-0.1231,-0.6425,-0.1163,-0.1206,0.3142,-0.9788,-0.4088,-0.1041,-0.7815,0.0894,-0.7233,-0.145,-0.226,0.044,0.1587,-0.7665,-0.2841,-0.1071,0.0543,-0.4325,-0.3057,-0.7047,-0.537,-0.4614,-0.0855,-0.1513,-0.8091,-0.5669,0.1278,-0.1555,-0.1868,-0.7665,0.3044,0.6242,0.0135,0.4113,0.4121,-0.1093,-0.0151,0.1314,-0.2008,-0.2817,0.0555,-0.3016,-0.0936,0.0932,-0.3595,-0.8702,-0.3869,-0.4519,-0.1811,DLBCL
0.1284,-0.0055,0.0669,0.24,-0.0327,0.262,0.2476,-0.1076,0.3574,-0.5288,-0.7627,-0.0198,-0.2606,1.2245,-0.1364,-0.1399,0.0063,0.2069,-0.0861,-0.303,0.5981,0.2712,0.6898,-0.6228,0.0396,-0.6988,-0.2706,-0.4983,-0.0019,-0.1753,-0.0705,-0.6959,0.9078,0.1757,0.0215,-0.3627,-0.1234,0.8682,0.3728,0.3259,0.2853,0.2249,0.5534,0.0331,0.0331,-0.5367,-0.0257,-0.5367,-0.1543,0.209,0.1639,0.0215,-0.3627,0.3728,-0.0705,0.8682,-0.1753,0.5534,0.9078,0.2853,0.0331,-0.1234,-0.0976,-0.596,-0.5367,-0.1543,0.2712,0.0396,-0.4983,0.1757,-0.6988,0.0063,0.2069,0.6898,0.5981,0.3259,-0.303,-0.2706,-0.6959,-0.6228,-0.5367,-0.1399,1.2245,-0.1364,-0.1076,-0.7627,-0.0019,-0.0861,0.3574,-0.0198,0.2476,-0.0055,0.262,-0.5288,-0.2606,0.0669,0.24,-0.0327,0.2249,0.1284,DLBCL
-0.0418,0.3778,-0.2363,0.4624,-0.2286,-0.2147,0.5727,-0.7627,-0.2104,-0.396,0.1306,0.1052,0.4469,-0.3325,0.2601,0.0443,0.0085,0.4323,0.2508,-0.3928,0.3383,-0.0212,-0.4442,-0.6555,-0.2591,-0.1717,-0.2602,-0.0631,0.6915,-0.7601,-0.1873,-0.6594,0.2816,0.412,-0.7709,-0.3313,-0.0664,0.678,-0.2987,-0.0039,0.8741,-0.2772,0.9257,0.8468,0.8468,-0.5913,0.279,-0.5913,-0.1701,0.4548,0.2506,-0.7709,-0.3313,-0.2987,-0.1873,0.678,-0.7601,0.9257,0.2816,0.8741,0.8468,-0.0664,0.3371,0.2093,-0.5913,-0.1701,-0.0212,-0.2591,-0.0631,0.412,-0.1717,0.0085,0.4323,-0.4442,0.3383,-0.0039,-0.3928,-0.2602,-0.6594,-0.6555,-0.5913,0.0443,-0.3325,0.2601,-0.7627,0.1306,0.6915,0.2508,-0.2104,0.1052,0.5727,0.3778,-0.2147,-0.396,0.4469,-0.2363,0.4624,-0.2286,-0.2772,-0.0418,DLBCL
-0.5122,-0.7644,-0.5801,-0.5258,0.124,0.21,-0.421,-0.2438,0.2879,-0.2682,-0.1817,-0.2269,0.0563,0.2605,0.4966,0.299,0.0585,0.6658,1.6516,-0.8983,0.5121,0.34,0.2733,-0.7362,-0.0546,-1.1894,-1.4083,-0.2048,-0.5194,0.8798,-0.4524,-0.7716,0.2871,0.377,-0.0646,0.3321,0.5074,0.0485,-0.8034,-0.2464,-0.3034,0.3532,-0.2818,-0.3366,-0.3366,0.1211,0.2028,0.1211,-0.1701,0.116,0.3612,-0.0646,0.3321,-0.8034,-0.4524,0.0485,0.8798,-0.2818,0.2871,-0.3034,-0.3366,0.5074,0.3108,0.2388,0.1211,-0.1701,0.34,-0.0546,-0.2048,0.377,-1.1894,0.0585,0.6658,0.2733,0.5121,-0.2464,-0.8983,-1.4083,-0.7716,-0.7362,0.1211,0.299,0.2605,0.4966,-0.2438,-0.1817,-0.5194,1.6516,0.2879,-0.2269,-0.421,-0.7644,0.21,-0.2682,0.0563,-0.5801,-0.5258,0.124,0.3532,-0.5122,DLBCL
-0.0446,-0.6509,0.1827,-0.4531,0.4687,-0.0689,0.2012,-0.308,-0.8014,-0.9566,0.8728,0.15,0.13,-0.9909,-0.5362,-0.0153,-0.1154,-1.2343,-0.0151,0.2025,-0.8578,0.168,-0.0507,0.2768,0.0469,-0.0199,0.2996,-0.7512,-1.2713,-0.7075,-0.445,0.2335,-0.2402,-0.8659,-0.4436,-0.3091,0.135,-0.2413,0.5125,-0.0265,-0.0523,0.1403,-0.442,-1.1841,-1.1841,0.1929,-1.1136,0.1929,0.8775,-0.3755,-0.7547,-0.4436,-0.3091,0.5125,-0.445,-0.2413,-0.7075,-0.442,-0.2402,-0.0523,-1.1841,0.135,-0.259,-0.7183,0.1929,0.8775,0.168,0.0469,-0.7512,-0.8659,-0.0199,-0.1154,-1.2343,-0.0507,-0.8578,-0.0265,0.2025,0.2996,0.2335,0.2768,0.1929,-0.0153,-0.9909,-0.5362,-0.308,0.8728,-1.2713,-0.0151,-0.8014,0.15,0.2012,-0.6509,-0.0689,-0.9566,0.13,0.1827,-0.4531,0.4687,0.1403,-0.0446,DLBCL
-0.2531,-0.2791,-0.2841,-0.1258,-0.5028,-0.0271,0.5077,0.1595,-0.025,-0.4919,-0.1407,-0.2083,-0.5554,0.2677,0.2568,-0.1887,-0.587,0.6416,0.3395,-0.3872,-0.5363,-0.0814,0.4931,0.1559,-0.0531,-0.1323,-0.1222,-0.1188,0.4473,-0.5125,-0.5469,-0.3226,-0.048,-0.507,-0.0646,-0.1337,-0.207,1.0177,-0.2536,-0.6474,-0.2834,-0.2199,-0.7586,0.3532,0.3532,-0.4333,0.0015,-0.4333,-0.1321,0.2821,0.1033,-0.0646,-0.1337,-0.2536,-0.5469,1.0177,-0.5125,-0.7586,-0.048,-0.2834,0.3532,-0.207,0.3701,0.2936,-0.4333,-0.1321,-0.0814,-0.0531,-0.1188,-0.507,-0.1323,-0.587,0.6416,0.4931,-0.5363,-0.6474,-0.3872,-0.1222,-0.3226,0.1559,-0.4333,-0.1887,0.2677,0.2568,0.1595,-0.1407,0.4473,0.3395,-0.025,-0.2083,0.5077,-0.2791,-0.0271,-0.4919,-0.5554,-0.2841,-0.1258,-0.5028,-0.2199,-0.2531,DLBCL
-0.3625,-0.7977,0.271,-0.6413,0.5847,-0.4163,0.4519,0.3753,-0.4132,-0.5116,0.2483,0.6837,0.587,0.3114,-0.3296,0.9113,-0.0458,0.0136,1.4034,0.5788,-0.4933,0.125,-0.745,-0.4237,0.1264,0.11,0.2371,-0.5185,-0.7733,-0.0453,-0.0242,0.3275,0.0509,-0.2007,0.1077,-0.0814,0.6252,-0.2186,-0.2356,0.1384,0.6897,0.1103,-0.6998,0.3329,0.3329,-0.2121,0.23,-0.2121,0.3205,-0.4984,-0.0828,0.1077,-0.0814,-0.2356,-0.0242,-0.2186,-0.0453,-0.6998,0.0509,0.6897,0.3329,0.6252,0.2778,-0.3177,-0.2121,0.3205,0.125,0.1264,-0.5185,-0.2007,0.11,-0.0458,0.0136,-0.745,-0.4933,0.1384,0.5788,0.2371,0.3275,-0.4237,-0.2121,0.9113,0.3114,-0.3296,0.3753,0.2483,-0.7733,1.4034,-0.4132,0.6837,0.4519,-0.7977,-0.4163,-0.5116,0.587,0.271,-0.6413,0.5847,0.1103,-0.3625,DLBCL
-0.4776,0.0202,0.078,0.2571,-0.2693,-0.1684,-0.1238,0.4138,-0.4016,-0.101,-0.3173,0.1594,-0.8723,-0.5981,-0.163,-0.4054,-0.1371,-0.2923,-0.4762,-0.6456,-0.4522,-0.2103,-0.3979,0.37,-0.162,0.4123,-0.0389,-0.8575,-0.4999,0.1898,0.1112,-0.3017,0.4244,1.646,-0.0991,-0.2423,-0.4502,-0.3002,0.1565,-0.1947,0.0854,0.3886,-0.5575,-0.3884,-0.3884,0.4686,-0.6621,0.4686,-0.129,-0.6246,-0.0221,-0.0991,-0.2423,0.1565,0.1112,-0.3002,0.1898,-0.5575,0.4244,0.0854,-0.3884,-0.4502,-0.7069,0.1671,0.4686,-0.129,-0.2103,-0.162,-0.8575,1.646,0.4123,-0.1371,-0.2923,-0.3979,-0.4522,-0.1947,-0.6456,-0.0389,-0.3017,0.37,0.4686,-0.4054,-0.5981,-0.163,0.4138,-0.3173,-0.4999,-0.4762,-0.4016,0.1594,-0.1238,0.0202,-0.1684,-0.101,-0.8723,0.078,0.2571,-0.2693,0.3886,-0.4776,DLBCL
0.668,0.4102,0.0908,-0.391,-0.2051,0.3279,0.5819,0.1313,-0.6334,2.0627,-0.5297,0.3908,0.0563,-0.4016,-0.4429,0.8354,0.8669,-0.9525,0.2508,0.5732,0.0599,-0.0298,0.1228,-0.3834,-0.2252,0.7714,-0.1925,0.4581,0.3204,-0.2279,0.6802,0.7113,1.2758,0.5345,0.6589,2.3589,-0.4464,0.6531,0.3818,0.4585,0.132,-0.5611,0.422,0.0624,0.0624,1.0058,0.5183,1.0058,0.8997,-0.0401,0.2333,0.6589,2.3589,0.3818,0.6802,0.6531,-0.2279,0.422,1.2758,0.132,0.0624,-0.4464,-1.1317,-0.1154,1.0058,0.8997,-0.0298,-0.2252,0.4581,0.5345,0.7714,0.8669,-0.9525,0.1228,0.0599,0.4585,0.5732,-0.1925,0.7113,-0.3834,1.0058,0.8354,-0.4016,-0.4429,0.1313,-0.5297,0.3204,0.2508,-0.6334,0.3908,0.5819,0.4102,0.3279,2.0627,0.0563,0.0908,-0.391,-0.2051,-0.5611,0.668,DLBCL
0.2818,-0.0007,-0.0139,-0.4852,-0.1205,0.4744,0.4984,-0.4262,-0.1177,-0.5116,-0.0358,0.1556,0.6828,-0.1797,0.0602,0.6566,0.1976,-0.5097,1.0488,0.5283,0.4654,0.4259,0.3658,-0.0911,-0.1075,0.0925,1.0806,-0.2655,-0.0507,-0.2217,0.2316,-0.6542,0.9242,0.2982,0.4005,-0.3287,0.6594,-0.7077,-0.168,0.7787,0.5275,0.0011,-0.1125,-0.3546,-0.3546,0.0636,0.0233,0.0636,0.1274,-0.3689,0.5641,0.4005,-0.3287,-0.168,0.2316,-0.7077,-0.2217,-0.1125,0.9242,0.5275,-0.3546,0.6594,0.0341,0.1966,0.0636,0.1274,0.4259,-0.1075,-0.2655,0.2982,0.0925,0.1976,-0.5097,0.3658,0.4654,0.7787,0.5283,1.0806,-0.6542,-0.0911,0.0636,0.6566,-0.1797,0.0602,-0.4262,-0.0358,-0.0507,1.0488,-0.1177,0.1556,0.4984,-0.0007,0.4744,-0.5116,0.6828,-0.0139,-0.4852,-0.1205,0.0011,0.2818,DLBCL
-0.0418,0.0384,-0.6076,-0.5985,-0.8052,0.0541,-0.4488,-0.4467,-0.2046,0.5481,-0.2712,0.4766,-1.7051,-0.4307,-0.0997,-0.6168,-0.1502,-0.4131,-0.8663,0.4497,0.2019,-0.8466,0.7593,0.9874,-0.2517,0.2429,-0.0753,1.3233,-0.3436,0.558,0.4133,0.834,0.6112,-1.0584,-1.081,-0.0578,-0.492,1.1603,0.6612,-0.3434,-1.5564,-0.0562,1.3647,0.6462,0.6462,0.7358,-1.2061,0.7358,0.4692,-0.319,-0.1282,-1.081,-0.0578,0.6612,0.4133,1.1603,0.558,1.3647,0.6112,-1.5564,0.6462,-0.492,0.2153,-0.1702,0.7358,0.4692,-0.8466,-0.2517,1.3233,-1.0584,0.2429,-0.1502,-0.4131,0.7593,0.2019,-0.3434,0.4497,-0.0753,0.834,0.9874,0.7358,-0.6168,-0.4307,-0.0997,-0.4467,-0.2712,-0.3436,-0.8663,-0.2046,0.4766,-0.4488,0.0384,0.0541,0.5481,-1.7051,-0.6076,-0.5985,-0.8052,-0.0562,-0.0418,DLBCL
0.1827,0.4664,-0.0397,0.5009,1.26,-0.1298,0.3869,0.0747,-0.4943,0.2531,-0.4606,-0.2643,-0.2532,0.1295,0.0069,-0.3133,0.3127,0.7866,0.0558,-0.2075,0.1608,-0.4597,-0.3285,0.1332,0.1514,-0.0126,0.198,0.4985,0.3399,-0.5373,-0.1613,-0.1059,1.2483,0.7446,0.1249,1.9088,0.1388,0.3814,0.3863,0.5911,0.7608,0.4678,1.0969,0.6665,0.6665,-0.4477,0.7848,-0.4477,0.349,0.3253,0.0538,0.1249,1.9088,0.3863,-0.1613,0.3814,-0.5373,1.0969,1.2483,0.7608,0.6665,0.1388,0.6138,0.0153,-0.4477,0.349,-0.4597,0.1514,0.4985,0.7446,-0.0126,0.3127,0.7866,-0.3285,0.1608,0.5911,-0.2075,0.198,-0.1059,0.1332,-0.4477,-0.3133,0.1295,0.0069,0.0747,-0.4606,0.3399,0.0558,-0.4943,-0.2643,0.3869,0.4664,-0.1298,0.2531,-0.2532,-0.0397,0.5009,1.26,0.4678,0.1827,DLBCL
1.1711,-1.2849,0.418,0.21,0.4295,0.8452,1.0555,-0.5803,-1.1664,0.3145,-0.5118,1.307,-0.3638,-2.0277,-0.876,0.8192,-0.1045,-2.0716,0.2686,1.3202,-1.2241,-0.1587,-0.2475,-0.5245,-0.8431,0.4459,-0.0597,0.5087,-1.4861,0.0599,1.963,1.0245,0.1388,-0.8483,0.9174,-0.2829,-0.625,-0.8368,-0.4654,0.5555,0.0454,-1.0577,-0.0857,-1.6597,-1.6597,0.8651,-1.6412,0.8651,0.8301,0.7404,0.2883,0.9174,-0.2829,-0.4654,1.963,-0.8368,0.0599,-0.0857,0.1388,0.0454,-1.6597,-0.625,0.2877,0.0786,0.8651,0.8301,-0.1587,-0.8431,0.5087,-0.8483,0.4459,-0.1045,-2.0716,-0.2475,-1.2241,0.5555,1.3202,-0.0597,1.0245,-0.5245,0.8651,0.8192,-2.0277,-0.876,-0.5803,-0.5118,-1.4861,0.2686,-1.1664,1.307,1.0555,-1.2849,0.8452,0.3145,-0.3638,0.418,0.21,0.4295,-1.0577,1.1711,DLBCL
0.0293,-0.0227,-0.2621,-0.2178,0.2587,0.0059,0.5541,0.6322,0.0156,-0.2559,-0.1817,0.0007,-0.408,0.5151,1.3729,-0.5192,-0.6413,-0.1232,-0.3166,-0.185,0.0131,-0.4855,-0.1202,-0.4539,0.1602,0.1042,1.1848,-0.0226,-0.5194,0.131,-0.2577,0.7609,-0.9103,0.7621,-0.1335,-0.2763,0.439,0.1006,-0.1319,0.0931,0.5075,-0.0016,-0.7227,0.4321,0.4321,-0.0111,1.0351,-0.0111,-0.0024,0.2489,-0.1215,-0.1335,-0.2763,-0.1319,-0.2577,0.1006,0.131,-0.7227,-0.9103,0.5075,0.4321,0.439,-0.4072,-0.0816,-0.0111,-0.0024,-0.4855,0.1602,-0.0226,0.7621,0.1042,-0.6413,-0.1232,-0.1202,0.0131,0.0931,-0.185,1.1848,0.7609,-0.4539,-0.0111,-0.5192,0.5151,1.3729,0.6322,-0.1817,-0.5194,-0.3166,0.0156,0.0007,0.5541,-0.0227,0.0059,-0.2559,-0.408,-0.2621,-0.2178,0.2587,-0.0016,0.0293,DLBCL
-0.341,0.2109,-0.0489,-0.5472,-0.343,-0.1393,0.1919,0.7118,0.2473,-0.3075,0.8191,-0.0832,-0.5038,0.7625,0.0335,-0.0912,-0.637,0.1183,-0.3875,-0.9039,-0.3382,-0.3135,0.0765,0.5363,1.6608,0.0078,-0.0154,0.6706,0.7208,-0.0206,-0.5877,0.1499,-0.8389,0.0794,1.193,-0.2711,0.1502,-0.1869,0.4088,-0.9094,-0.4967,0.1512,-0.5684,0.5606,0.5606,-0.238,1.1928,-0.238,-0.5025,-0.0799,-0.904,1.193,-0.2711,0.4088,-0.5877,-0.1869,-0.0206,-0.5684,-0.8389,-0.4967,0.5606,0.1502,-0.0515,0.1671,-0.238,-0.5025,-0.3135,1.6608,0.6706,0.0794,0.0078,-0.637,0.1183,0.0765,-0.3382,-0.9094,-0.9039,-0.0154,0.1499,0.5363,-0.238,-0.0912,0.7625,0.0335,0.7118,0.8191,0.7208,-0.3875,0.2473,-0.0832,0.1919,0.2109,-0.1393,-0.3075,-0.5038,-0.0489,-0.5472,-0.343,0.1512,-0.341,DLBCL
0.3173,0.1528,-0.1279,0.1181,-0.5373,-0.1887,-0.4674,0.4318,0.2763,-0.0961,-0.3967,-0.4154,-0.4301,0.1259,0.7099,-0.1778,-0.1806,0.7221,-0.0329,-0.1288,0.4561,-0.9842,0.6667,0.1861,0.272,-0.5251,0.2866,0.8629,0.418,-0.5125,0.0073,0.4763,-0.2292,-0.2357,-0.1507,-0.3352,0.192,1.3641,-0.1049,0.2839,0.9407,-0.3891,1.081,0.7499,0.7499,1.115,0.4204,1.115,-0.1733,0.0164,0.0033,-0.1507,-0.3352,-0.1049,0.0073,1.3641,-0.5125,1.081,-0.2292,0.9407,0.7499,0.192,-0.6509,-0.1154,1.115,-0.1733,-0.9842,0.272,0.8629,-0.2357,-0.5251,-0.1806,0.7221,0.6667,0.4561,0.2839,-0.1288,0.2866,0.4763,0.1861,1.115,-0.1778,0.1259,0.7099,0.4318,-0.3967,0.418,-0.0329,0.2763,-0.4154,-0.4674,0.1528,-0.1887,-0.0961,-0.4301,-0.1279,0.1181,-0.5373,-0.3891,0.3173,DLBCL
0.4913,-0.6052,0.6955,-0.3632,-0.1612,0.636,-0.5881,-1.6079,-0.5639,0.1916,-0.5579,1.9191,1.1545,-0.1542,0.44,3.0895,0.1172,-1.4195,1.3147,0.3317,-0.6709,0.3056,-0.4442,-1.1318,-0.9167,-0.839,-2.0956,-1.0346,0.3887,2.9158,2.2077,-1.2468,0.5398,0.2632,-1.4773,-0.0905,1.7235,-0.2753,-2.9889,0.9468,-1.272,1.0136,0.0527,-0.1833,-0.1833,-1.433,-0.4391,-1.433,0.5769,0.3784,0.9556,-1.4773,-0.0905,-2.9889,2.2077,-0.2753,2.9158,0.0527,0.5398,-1.272,-0.1833,1.7235,0.7916,0.9049,-1.433,0.5769,0.3056,-0.9167,-1.0346,0.2632,-0.839,0.1172,-1.4195,-0.4442,-0.6709,0.9468,0.3317,-2.0956,-1.2468,-1.1318,-1.433,3.0895,-0.1542,0.44,-1.6079,-0.5579,0.3887,1.3147,-0.5639,1.9191,-0.5881,-0.6052,0.636,0.1916,1.1545,0.6955,-0.3632,-0.1612,1.0136,0.4913,DLBCL
-0.5589,-0.1094,-0.2437,-0.6028,0.124,-0.6433,0.0526,0.2032,0.5254,-0.31,0.7064,-0.7009,-0.5996,0.4714,-0.2796,0.0768,-0.6978,0.0297,-0.1215,-0.522,-0.1308,0.3486,0.2385,-0.0331,0.3014,-0.3791,0.6328,-0.564,0.1544,-0.2155,-0.5766,-0.119,-1.3113,0.9196,0.3316,-0.3195,0.6404,-0.7621,0.0078,-0.4987,0.1543,0.1649,-0.4828,-0.2374,-0.2374,-0.5224,0.7304,-0.5224,-0.5341,-0.0201,-0.4519,0.3316,-0.3195,0.0078,-0.5766,-0.7621,-0.2155,-0.4828,-1.3113,0.1543,-0.2374,0.6404,0.1823,-0.187,-0.5224,-0.5341,0.3486,0.3014,-0.564,0.9196,-0.3791,-0.6978,0.0297,0.2385,-0.1308,-0.4987,-0.522,0.6328,-0.119,-0.0331,-0.5224,0.0768,0.4714,-0.2796,0.2032,0.7064,0.1544,-0.1215,0.5254,-0.7009,0.0526,-0.1094,-0.6433,-0.31,-0.5996,-0.2437,-0.6028,0.124,0.1649,-0.5589,DLBCL
-0.7179,0.3768,-0.2547,0.3983,-0.1393,-0.4841,0.4241,0.216,-0.2568,-0.5411,0.3609,0.1202,-0.9976,-0.7181,0.0036,-0.8227,0.1737,0.2552,-0.2634,-0.3142,0.3103,-0.3221,-0.4789,-0.1339,-0.2032,-0.0958,0.2085,-0.7462,-0.0214,0.3136,-0.521,-0.4061,-0.5753,-0.5158,-0.3747,-0.135,-0.5832,0.1278,0.7378,-0.0944,-0.4189,-0.1135,0.5634,-0.0052,-0.0052,-0.3644,-0.7002,-0.3644,-0.1037,-0.4552,0.1818,-0.3747,-0.135,0.7378,-0.521,0.1278,0.3136,0.5634,-0.5753,-0.4189,-0.0052,-0.5832,0.0407,-2.5817,-0.3644,-0.1037,-0.3221,-0.2032,-0.7462,-0.5158,-0.0958,0.1737,0.2552,-0.4789,0.3103,-0.0944,-0.3142,0.2085,-0.4061,-0.1339,-0.3644,-0.8227,-0.7181,0.0036,0.216,0.3609,-0.0214,-0.2634,-0.2568,0.1202,0.4241,0.3768,-0.4841,-0.5411,-0.9976,-0.2547,0.3983,-0.1393,-0.1135,-0.7179,DLBCL
-0.9105,0.4798,-0.251,-0.7675,0.2274,0.0179,-0.2445,0.2366,0.0503,0.8014,1.162,-0.2867,-0.7249,-0.3616,-0.2363,-0.9039,-0.587,-0.6546,-0.6535,-0.0839,-0.4709,-0.3909,-0.745,0.5237,0.5927,0.1057,0.5079,-0.3363,0.4669,0.1341,-0.4023,0.0455,0.0949,0.9284,-0.2197,0.0783,-0.815,0.4289,0.5756,-0.9773,-0.3589,-0.4519,0.1881,-0.0661,-0.0661,-0.1863,-0.1399,-0.1863,-0.0182,-0.3921,-0.9525,-0.2197,0.0783,0.5756,-0.4023,0.4289,0.1341,0.1881,0.0949,-0.3589,-0.0661,-0.815,-1.135,-0.4231,-0.1863,-0.0182,-0.3909,0.5927,-0.3363,0.9284,0.1057,-0.587,-0.6546,-0.745,-0.4709,-0.9773,-0.0839,0.5079,0.0455,0.5237,-0.1863,-0.9039,-0.3616,-0.2363,0.2366,1.162,0.4669,-0.6535,0.0503,-0.2867,-0.2445,0.4798,0.0179,0.8014,-0.7249,-0.251,-0.7675,0.2274,-0.4519,-0.9105,DLBCL
0.1097,-0.3916,0.4823,-0.1408,0.5564,-0.0854,-1.2474,-0.2746,-0.5349,-0.0543,0.6527,0.0007,-0.5333,-1.1983,-0.3429,-0.3079,-0.1588,-0.6143,0.3572,-0.3198,-1.3811,-0.2017,-0.3748,0.1559,-0.0972,0.5466,0.2814,-0.9233,-2.2088,0.0135,0.3373,-0.025,0.4299,-0.577,-0.4608,-0.3365,0.3364,-0.8006,0.2061,-0.1818,-0.2945,0.2495,-0.3395,-0.58,-0.58,0.3767,-0.7056,0.3767,0.6465,0.2422,-0.4473,-0.4608,-0.3365,0.2061,0.3373,-0.8006,0.0135,-0.3395,0.4299,-0.2945,-0.58,0.3364,-0.6245,-1.1019,0.3767,0.6465,-0.2017,-0.0972,-0.9233,-0.577,0.5466,-0.1588,-0.6143,-0.3748,-1.3811,-0.1818,-0.3198,0.2814,-0.025,0.1559,0.3767,-0.3079,-1.1983,-0.3429,-0.2746,0.6527,-2.2088,0.3572,-0.5349,0.0007,-1.2474,-0.3916,-0.0854,-0.0543,-0.5333,0.4823,-0.1408,0.5564,0.2495,0.1097,DLBCL
0.0704,-0.4154,-0.4091,-0.5001,-0.2552,0.4471,0.1548,0.6193,0.8035,-0.5116,0.3891,-0.0963,-0.4227,1.6064,-0.3329,-0.3729,-0.8108,0.3598,-0.2811,-0.6006,-0.6354,-0.4769,-0.1896,0.5338,0.1838,-0.1031,0.1173,0.1747,0.7012,0.6663,-0.8435,0.4632,-0.5478,-0.0169,-0.0302,-0.3261,0.2148,0.515,0.4269,0.1319,-0.0435,0.1976,0.9337,0.0173,0.0173,0.2331,0.0886,0.2331,-0.5468,-0.1663,-1.1941,-0.0302,-0.3261,0.4269,-0.8435,0.515,0.6663,0.9337,-0.5478,-0.0435,0.0173,0.2148,-0.147,0.0364,0.2331,-0.5468,-0.4769,0.1838,0.1747,-0.0169,-0.1031,-0.8108,0.3598,-0.1896,-0.6354,0.1319,-0.6006,0.1173,0.4632,0.5338,0.2331,-0.3729,1.6064,-0.3329,0.6193,0.3891,0.7012,-0.2811,0.8035,-0.0963,0.1548,-0.4154,0.4471,-0.5116,-0.4227,-0.4091,-0.5001,-0.2552,0.1976,0.0704,DLBCL
-0.5916,0.251,-0.3448,0.0924,-0.2505,-0.1678,0.1734,0.085,0.0445,-0.8804,0.517,-0.5349,-0.268,0.064,-0.263,-0.2916,-0.7587,-0.1715,-0.6003,-0.3254,-0.1252,0.1852,-0.2938,-0.2423,0.2014,-0.7222,0.2215,-0.3009,0.1251,-0.1536,-0.8175,-0.1398,-0.6027,-0.2269,0.2283,-0.2253,0.2908,-0.2843,-0.2266,-0.7024,-0.3323,-0.1708,0.5216,0.4997,0.4997,-0.4276,0.4421,-0.4276,-0.4898,0.4515,-0.4065,0.2283,-0.2253,-0.2266,-0.8175,-0.2843,-0.1536,0.5216,-0.6027,-0.3323,0.4997,0.2908,-0.5093,-0.4779,-0.4276,-0.4898,0.1852,0.2014,-0.3009,-0.2269,-0.7222,-0.7587,-0.1715,-0.2938,-0.1252,-0.7024,-0.3254,0.2215,-0.1398,-0.2423,-0.4276,-0.2916,0.064,-0.263,0.085,0.517,0.1251,-0.6003,0.0445,-0.5349,0.1734,0.251,-0.1678,-0.8804,-0.268,-0.3448,0.0924,-0.2505,-0.1708,-0.5916,DLBCL
0.1574,1.0499,-0.9017,1.3651,-0.8021,-0.2249,0.3219,-1.1018,-0.5291,2.5716,-2.4902,0.7677,0.727,0.8643,-0.5428,0.5428,2.1643,-0.5338,0.3927,1.0001,1.198,1.0364,-0.0276,-1.8171,-0.7004,1.1773,1.2993,0.6655,0.6329,0.6261,0.7711,-2.761,1.133,0.0794,-0.6848,0.4041,-0.929,0.1006,1.941,1.1053,0.3342,-1.6363,0.5166,3.3061,3.3061,-0.847,0.4748,-0.847,1.9157,0.4349,2.0526,-0.6848,0.4041,1.941,0.7711,0.1006,0.6261,0.5166,1.133,0.3342,3.3061,-0.929,1.4272,1.8577,-0.847,1.9157,1.0364,-0.7004,0.6655,0.0794,1.1773,2.1643,-0.5338,-0.0276,1.198,1.1053,1.0001,1.2993,-2.761,-1.8171,-0.847,0.5428,0.8643,-0.5428,-1.1018,-2.4902,0.6329,0.3927,-0.5291,0.7677,0.3219,1.0499,-0.2249,2.5716,0.727,-0.9017,1.3651,-0.8021,-1.6363,0.1574,DLBCL
